loan_grade,total_loans,defaulted_loans,total_loan_amount,defaulted_loan_amount,avg_loan_amount,avg_interest_rate,avg_risk_score,default_rate
G,64,63,1100525,1098925,17195.7,20.24,100.0,98.44
F,241,170,3546875,2496875,14717.32,18.6,95.25,70.54
E,963,621,12441875,7826925,12919.91,16.99,81.95,64.49
D,3620,2138,39297850,22778600,10855.76,15.36,64.07,59.06
C,6436,1336,59343250,13567650,9220.52,13.47,46.63,20.76
B,10384,1695,103742875,19030725,9990.65,11.0,25.04,16.32
A,10703,1066,91464650,10168975,8545.7,7.34,18.36,9.96
