loan_purpose,total_loans,defaulted_loans,total_loan_amount,defaulted_loan_amount,avg_loan_amount,avg_interest_rate,avg_risk_score,default_rate
Debtconsolidation,5189,1488,49841750,16551650,9605.27,11.02,34.06,28.68
Medical,6042,1617,56018875,18124200,9271.58,11.05,34.04,26.76
Homeimprovement,3594,940,37241475,9293875,10362.12,11.22,34.97,26.15
Personal,5497,1094,52664100,11490850,9580.52,10.99,33.42,19.9
Education,6409,1106,60750200,12130000,9478.89,10.97,33.53,17.26
Venture,5680,844,54421500,9378100,9581.25,10.95,33.48,14.86
